UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,client_id
9607,L56786,L,298.9,310.1,1401,44.4,76,0,0,0,0,0,0,client_1
9537,L56716,L,299.3,310.5,1818,26.0,102,0,0,0,0,0,0,client_1
8605,L55784,L,297.4,308.2,1297,52.1,211,0,0,0,0,0,0,client_1
524,L47703,L,297.4,309.4,1401,45.9,49,0,0,0,0,0,0,client_1
1004,L48183,L,296.2,307.1,1444,46.7,194,0,0,0,0,0,0,client_1
2092,L49271,L,299.4,309.2,1433,42.1,22,0,0,0,0,0,0,client_1
2309,L49488,L,299.1,308.5,1371,55.5,159,0,0,0,0,0,0,client_1
7785,L54964,L,300.3,311.5,1403,60.1,58,0,0,0,0,0,0,client_1
7985,L55164,L,301.0,312.3,1550,34.9,111,0,0,0,0,0,0,client_1
6872,L54051,L,301.0,311.3,1349,47.0,71,0,0,0,0,0,0,client_1
8090,L55269,L,300.1,311.3,1676,30.3,151,0,0,0,0,0,0,client_1
6236,L53415,L,301.3,310.9,1596,33.9,157,0,0,0,0,0,0,client_1
5424,L52603,L,302.6,312.3,1647,31.8,52,0,0,0,0,0,0,client_1
460,L47639,L,297.4,308.6,1476,42.3,107,0,0,0,0,0,0,client_1
3145,M18004,M,300.6,310.0,1478,36.3,95,0,0,0,0,0,0,client_1
7479,L54658,L,300.1,311.3,1479,39.5,133,0,0,0,0,0,0,client_1
4508,L51687,L,302.4,310.1,1709,31.8,100,0,0,0,0,0,0,client_1
7646,L54825,L,300.4,311.4,1662,29.3,129,0,0,0,0,0,0,client_1
3760,L50939,L,302.3,311.0,1412,47.0,164,0,0,0,0,0,0,client_1
4632,L51811,L,303.0,311.2,1383,44.6,198,0,0,0,0,0,0,client_1
2983,L50162,L,300.5,309.5,1795,27.7,117,0,0,0,0,0,0,client_1
2057,L49236,L,299.5,309.3,1333,54.1,147,0,0,0,0,0,0,client_1
7471,L54650,L,300.4,311.6,1332,54.6,111,0,0,0,0,0,0,client_1
6648,L53827,L,301.5,310.5,1927,22.4,149,0,0,0,0,0,0,client_1
932,L48111,L,295.5,305.9,1542,36.2,12,0,0,0,0,0,0,client_1
3876,L51055,L,302.6,311.8,1427,50.1,21,0,0,0,0,0,0,client_1
7033,L54212,L,300.7,310.9,1723,31.0,73,0,0,0,0,0,0,client_1
6711,L53890,L,301.5,310.7,1323,49.7,79,0,0,0,0,0,0,client_1
8430,L55609,L,299.0,310.3,1577,40.0,181,0,0,0,0,0,0,client_1
8498,M23357,M,298.3,309.4,1509,34.2,141,0,0,0,0,0,0,client_1
736,L47915,L,296.9,308.4,1557,32.4,173,0,0,0,0,0,0,client_1
5975,L53154,L,300.5,310.7,1488,39.4,159,0,0,0,0,0,0,client_1
7040,H36453,H,300.6,310.5,1519,37.0,91,0,0,0,0,0,0,client_1
4468,L51647,L,302.8,310.6,1617,37.9,207,0,0,0,0,0,0,client_1
2137,L49316,L,299.2,308.9,1588,41.5,150,0,0,0,0,0,0,client_1
1072,L48251,L,296.9,307.8,1425,49.1,163,0,0,0,0,0,0,client_1
665,L47844,L,297.5,308.9,1390,47.4,187,0,0,0,0,0,0,client_1
6270,M21129,M,300.9,310.5,1444,43.2,27,0,0,0,0,0,0,client_1
6204,L53383,L,301.0,310.9,1404,41.8,71,0,0,0,0,0,0,client_1
5421,L52600,L,302.6,312.3,1512,34.2,44,0,0,0,0,0,0,client_1
9675,L56854,L,299.1,310.2,1695,29.6,8,0,0,0,0,0,0,client_1
3874,L51053,L,302.6,311.8,1638,35.1,17,0,0,0,0,0,0,client_1
2527,L49706,L,298.8,308.6,1501,35.0,55,0,0,0,0,0,0,client_1
8562,L55741,L,298.2,308.9,1332,44.4,100,0,0,0,0,0,0,client_1
6671,L53850,L,301.5,310.6,1998,20.2,210,0,0,0,0,0,0,client_1
1937,M16796,M,298.1,308.0,2129,18.4,45,0,0,0,0,0,0,client_1
6401,L53580,L,300.1,309.7,1601,35.8,160,0,0,0,0,0,0,client_1
6394,L53573,L,300.2,309.7,1678,30.5,142,0,0,0,0,0,0,client_1
5066,L52245,L,304.1,313.0,1566,37.2,7,0,0,0,0,0,0,client_1
3361,L50540,L,301.5,310.6,1394,46.5,206,0,0,0,0,0,0,client_1
6882,L54061,L,301.0,311.4,1573,37.6,103,0,0,0,0,0,0,client_1
5010,L52189,L,303.7,312.8,1523,40.7,59,0,0,0,0,0,0,client_1
6821,L54000,L,300.8,310.6,1551,34.5,153,0,0,0,0,0,0,client_1
7148,L54327,L,300.3,309.8,1466,41.2,156,0,0,0,0,0,0,client_1
7954,L55133,L,301.0,312.0,1447,36.8,31,0,0,0,0,0,0,client_1
8425,L55604,L,299.1,310.6,1380,44.7,170,0,0,0,0,0,0,client_1
5859,L53038,L,301.3,311.0,1348,44.5,78,0,0,0,0,0,0,client_1
8165,L55344,L,299.6,310.9,1472,40.9,137,0,0,0,0,0,0,client_1
2019,L49198,L,298.7,308.5,1375,46.4,48,0,0,0,0,0,0,client_1
1661,L48840,L,298.2,308.0,1499,44.1,166,0,0,0,0,0,0,client_1
6888,L54067,L,300.8,311.3,1782,26.9,116,0,0,0,0,0,0,client_1
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,client_1
2568,L49747,L,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,client_1
3044,L50223,L,300.3,309.5,1551,37.9,42,0,0,0,0,0,0,client_1
2984,L50163,L,300.6,309.6,1290,57.4,119,0,0,0,0,0,0,client_1
9303,M24162,M,298.1,308.9,1804,25.1,118,0,0,0,0,0,0,client_1
2254,L49433,L,299.2,308.4,1386,54.1,26,0,0,0,0,0,0,client_1
622,L47801,L,298.3,310.1,1408,45.3,78,0,0,0,0,0,0,client_1
9081,L56260,L,297.2,308.0,1869,25.4,163,0,0,0,0,0,0,client_1
4294,L51473,L,301.8,310.0,1393,44.9,208,0,0,0,0,0,0,client_1
3675,L50854,L,302.2,311.5,1346,52.4,157,0,0,0,0,0,0,client_1
2621,L49800,L,299.4,309.2,1556,35.7,75,0,0,0,0,0,0,client_1
7392,L54571,L,299.7,310.6,1675,31.3,129,0,0,0,0,0,0,client_1
4719,L51898,L,303.3,311.6,1337,56.8,187,1,0,1,0,0,0,client_1
2157,M17016,M,299.4,308.9,1457,41.5,201,0,0,0,0,0,0,client_1
6952,L54131,L,300.8,311.3,1524,43.5,71,0,0,0,0,0,0,client_1
6562,L53741,L,301.5,310.7,1596,35.4,150,0,0,0,0,0,0,client_1
2863,L50042,L,300.6,309.5,1867,23.0,242,0,0,0,0,0,0,client_1
6672,L53851,L,301.5,310.6,1357,42.1,212,0,0,0,0,0,0,client_1
7674,M22533,M,300.5,311.6,1476,39.1,199,0,0,0,0,0,0,client_1
2902,L50081,L,300.6,309.4,1425,40.3,103,0,0,0,0,0,0,client_1
8035,L55214,L,300.7,311.8,1564,36.8,11,0,0,0,0,0,0,client_1
5426,L52605,L,302.5,312.2,1775,27.9,56,0,0,0,0,0,0,client_1
9232,L56411,L,298.2,309.1,1539,36.5,134,0,0,0,0,0,0,client_1
6280,L53459,L,301.3,310.8,1432,54.4,51,0,0,0,0,0,0,client_1
8314,M23173,M,298.8,310.0,1484,44.9,80,0,0,0,0,0,0,client_1
2267,L49446,L,299.2,308.5,1381,60.6,59,0,0,0,0,0,0,client_1
9267,L56446,L,298.2,308.9,1737,25.5,26,0,0,0,0,0,0,client_1
2958,L50137,L,300.8,309.6,1498,45.8,47,0,0,0,0,0,0,client_1
549,L47728,L,297.4,309.3,1332,53.2,115,0,0,0,0,0,0,client_1
477,L47656,L,297.4,309.0,1570,37.9,154,0,0,0,0,0,0,client_1
9190,L56369,L,297.9,309.1,1595,32.0,32,0,0,0,0,0,0,client_1
