UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,client_id
9434,M24293,M,298.0,308.7,1430,51.9,47,0,0,0,0,0,0,client_2
2711,L49890,L,299.6,309.1,1574,39.2,83,0,0,0,0,0,0,client_2
4406,L51585,L,302.4,310.2,1331,45.5,53,1,0,1,0,0,0,client_2
1429,L48608,L,298.8,309.9,1568,33.7,13,0,0,0,0,0,0,client_2
4302,L51481,L,301.7,310.2,1471,51.1,8,0,0,0,0,0,0,client_2
5556,L52735,L,302.5,312.0,1411,44.2,177,0,0,0,0,0,0,client_2
2458,L49637,L,299.0,308.6,1661,32.2,106,0,0,0,0,0,0,client_2
1045,L48224,L,296.5,307.6,1512,43.6,92,0,0,0,0,0,0,client_2
4463,L51642,L,302.7,310.5,1263,67.8,197,1,0,1,0,1,0,client_2
2056,L49235,L,299.6,309.4,1643,32.9,145,0,0,0,0,0,0,client_2
6802,L53981,L,301.1,310.7,1334,48.2,106,0,0,0,0,0,0,client_2
3424,L50603,L,301.4,310.4,1496,35.2,153,0,0,0,0,0,0,client_2
6678,L53857,L,301.5,310.7,1435,38.5,224,0,0,0,0,0,0,client_2
9415,L56594,L,298.1,308.6,1354,53.9,207,1,0,0,0,1,0,client_2
2554,L49733,L,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,client_2
1526,L48705,L,298.2,309.0,2449,13.8,45,0,0,0,0,0,0,client_2
4661,L51840,L,303.2,311.2,1439,43.9,30,0,0,0,0,0,0,client_2
7481,M22340,M,300.2,311.4,1570,35.3,138,0,0,0,0,0,0,client_2
624,L47803,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0,client_2
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,client_2
1400,L48579,L,299.0,310.2,1533,43.5,159,0,0,0,0,0,0,client_2
8212,L55391,L,299.2,310.6,1675,33.3,28,0,0,0,0,0,0,client_2
445,L47624,L,297.4,308.4,1582,37.2,68,0,0,0,0,0,0,client_2
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,client_2
4264,L51443,L,302.6,311.0,1620,36.2,139,0,0,0,0,0,0,client_2
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,client_2
5914,H35327,H,300.7,310.2,1479,52.3,9,0,0,0,0,0,0,client_2
1766,L48945,L,298.2,307.6,1368,51.8,5,0,0,0,0,0,0,client_2
5354,L52533,L,303.4,312.7,1589,34.0,116,0,0,0,0,0,0,client_2
331,M15190,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,client_2
7918,L55097,L,300.9,312.1,1474,42.4,171,0,0,0,0,0,0,client_2
7056,L54235,L,300.8,310.6,1663,30.6,139,0,0,0,0,0,0,client_2
1068,L48247,L,296.9,307.8,1466,45.7,153,0,0,0,0,0,0,client_2
8787,L55966,L,297.5,308.5,1306,50.7,38,0,0,0,0,0,0,client_2
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,client_2
3699,H33112,H,302.2,311.3,1758,26.4,4,0,0,0,0,0,0,client_2
482,M15341,M,297.3,309.0,1556,39.5,168,0,0,0,0,0,0,client_2
8277,L55456,L,298.8,310.5,1384,52.8,200,0,0,0,0,0,0,client_2
7508,L54687,L,300.5,311.9,1750,28.3,207,0,0,0,0,0,0,client_2
2674,L49853,L,299.8,309.4,1480,40.9,2,0,0,0,0,0,0,client_2
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,client_2
8607,M23466,M,297.5,308.4,1505,37.2,215,0,0,0,0,0,0,client_2
