UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,client_id
5245,L52424,L,303.6,313.0,1593,31.6,52,0,0,0,0,0,0,client_4
6880,H36293,H,300.8,311.2,2237,17.0,95,0,0,0,0,0,0,client_4
964,L48143,L,295.8,306.6,1621,31.6,95,0,0,0,0,0,0,client_4
1710,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0,client_4
6186,L53365,L,301.1,311.0,1918,21.7,28,0,0,0,0,0,0,client_4
8699,H38112,H,297.3,308.7,1438,46.2,16,0,0,0,0,0,0,client_4
657,M15516,M,297.7,309.1,1732,28.1,167,0,0,0,0,0,0,client_4
3653,M18512,M,302.1,311.5,1341,50.8,99,0,0,0,0,0,0,client_4
749,H30162,H,296.7,308.1,1528,46.3,203,0,0,0,0,0,0,client_4
1240,H30653,H,297.2,308.5,1482,39.3,187,0,0,0,0,0,0,client_4
2524,L49703,L,298.8,308.7,1635,35.2,47,0,0,0,0,0,0,client_4
8731,H38144,H,297.3,308.7,1569,33.9,93,0,0,0,0,0,0,client_4
1308,L48487,L,298.8,310.0,1423,42.1,154,0,0,0,0,0,0,client_4
2646,H32059,H,299.9,309.5,1547,38.5,148,0,0,0,0,0,0,client_4
1682,M16541,M,297.8,307.3,1804,26.0,222,0,0,0,0,0,0,client_4
2769,L49948,L,300.0,309.5,1675,30.2,11,0,0,0,0,0,0,client_4
9977,L57156,L,298.6,308.2,1705,26.3,177,0,0,0,0,0,0,client_4
6996,M21855,M,300.6,310.7,1705,31.2,181,0,0,0,0,0,0,client_4
8072,L55251,L,300.5,312.0,1646,29.5,106,0,0,0,0,0,0,client_4
9364,L56543,L,297.9,308.5,1519,34.3,61,0,0,0,0,0,0,client_4
1112,H30525,H,296.5,307.4,1432,49.2,64,0,0,0,0,0,0,client_4
7045,M21904,M,300.7,310.6,1505,35.6,105,0,0,0,0,0,0,client_4
3664,M18523,M,302.3,311.7,1442,41.7,127,0,0,0,0,0,0,client_4
3645,L50824,L,302.2,311.5,1548,32.4,81,0,0,0,0,0,0,client_4
7618,L54797,L,300.5,311.4,1556,45.3,58,0,0,0,0,0,0,client_4
3366,M18225,M,301.4,310.6,1630,30.3,2,0,0,0,0,0,0,client_4
9663,M24522,M,299.1,310.1,1570,30.9,226,0,0,0,0,0,0,client_4
847,M15706,M,296.4,307.4,1416,50.0,210,0,0,0,0,0,0,client_4
7451,L54630,L,300.3,311.8,1451,41.0,55,0,0,0,0,0,0,client_4
1163,L48342,L,296.9,307.8,1400,57.1,202,1,0,0,0,1,0,client_4
4362,M19221,M,302.1,310.1,1379,48.2,166,1,0,1,0,0,0,client_4
8299,H37712,H,298.7,310.1,1435,45.6,37,0,0,0,0,0,0,client_4
9787,M24646,M,298.7,309.6,1738,27.3,79,0,0,0,0,0,0,client_4
7737,H37150,H,300.6,312.1,1354,46.9,138,0,0,0,0,0,0,client_4
578,L47757,L,297.7,309.7,1591,37.7,196,0,0,0,0,0,0,client_4
9827,L57006,L,298.4,309.2,1345,52.7,196,0,0,0,0,0,0,client_4
3350,L50529,L,301.4,310.7,1673,27.8,181,0,0,0,0,0,0,client_4
6173,L53352,L,300.8,310.6,1577,37.9,227,1,1,0,0,0,0,client_4
1130,L48309,L,296.7,307.9,1690,29.6,119,0,0,0,0,0,0,client_4
